Date,Policy_Type,Year,Month,Premium_Rate,Total_Investment_Cover,Customer_Acquisition,Customer_Retention,Operational_Impact,Market_Share_Impact,Renewal_Rates,Sales
2010-01-31,Health Insurance,2010,1,3807.947176588889,832313.2137098518,178,0.5054488138556994,9.33744346057078,3.0779881471686976,0.6711022488849645,415210.9469899132
2010-01-31,Life Insurance,2010,1,9512.07163345817,965376.6415598475,919,0.930425629234766,1.1720448498678762,1.3022263394144344,0.4733586012166988,415633.5442631097
2010-01-31,Motor Vehicle Insurance,2010,1,7346.740023932911,133054.25125068927,428,0.8318787617565531,5.291591214860354,0.38288758020307434,0.5052157748918789,356147.4668030712
2010-01-31,Home Insurance,2010,1,6026.718993550662,733558.8004516078,294,0.6589631338259289,7.189498381875046,2.0160610587242536,0.4106684891400333,57173.681811248825
2010-02-28,Health Insurance,2010,2,1644.5845403801216,938957.0522528274,852,0.6334410115794449,7.5043626192840565,1.2475965175390376,0.7757262425624817,420232.6616425141
2010-02-28,Life Insurance,2010,2,1644.345751328406,189420.73550400356,151,0.6573664533856323,7.232791883833972,1.1758142238260296,0.8386107682218482,337151.42536379036
2010-02-28,Motor Vehicle Insurance,2010,2,675.0277604651747,75831.30469310972,384,0.8485940890315318,2.2099161646730967,4.803327733295931,0.4609567915576109,350026.96217212826
2010-02-28,Home Insurance,2010,2,8675.143843171858,743709.4427971585,638,0.7976167749816865,3.694560295345131,3.119872381036048,0.5041638461943841,184676.50599991647
2010-03-31,Health Insurance,2010,3,6051.038616257767,578728.3820481128,813,0.5833380055403605,4.228439728753122,2.82870437154327,0.7907842857761203,440243.38029771834
2010-03-31,Life Insurance,2010,3,7109.9185201808505,843410.4889906893,308,0.5783492009003379,8.239934869115544,2.1372980072642775,0.8169087090802831,364058.9421162545
2010-03-31,Motor Vehicle Insurance,2010,3,303.7864935284442,148374.6528600266,336,0.5442780423710288,3.508838851730977,2.201827233807707,0.5888323222630647,60732.28093195126
2010-03-31,Home Insurance,2010,3,9702.107536403744,797314.6387412912,946,0.7971362238656021,2.8963446748048285,2.750434518806596,0.4227801125210834,206850.12703105054
2010-04-30,Health Insurance,2010,4,8341.182143924176,209611.04684726708,746,0.8439676979997812,9.617032171342865,3.5125060544769258,0.4177263251617688,443758.27917027014
2010-04-30,Life Insurance,2010,4,2202.157195714934,172019.38343704745,892,0.6192708927462518,1.07976956602122,3.540515871290965,0.6582774397310547,28362.367340202603
2010-04-30,Motor Vehicle Insurance,2010,4,1900.067175350296,172623.139951683,375,0.5094252324639108,9.980387701137804,0.9413001477567029,0.5768027990019305,480901.2267228145
2010-04-30,Home Insurance,2010,4,1915.704647548995,816428.9730290683,8,0.5369772503643923,7.091391689716561,2.5505524851754724,0.41289359240994455,341185.4713181836
2010-05-31,Health Insurance,2010,5,3111.9982052994233,668545.2484892381,341,0.9355370156802636,8.456223695042054,2.1185946656671,0.6624635765406506,317531.10893347143
2010-05-31,Life Insurance,2010,5,5295.0886731591545,527834.7705214282,129,0.6329501498648391,3.6515745671157385,4.365582134719983,0.4050861414650601,138926.83196155573
2010-05-31,Motor Vehicle Insurance,2010,5,4376.255684556946,365242.17928226746,776,0.84615041652716,1.1288374990035397,3.1939527139700448,0.7543173811671728,128151.93542589265
2010-05-31,Home Insurance,2010,5,2983.168487960615,878428.5354049772,669,0.7810986059844187,7.64082566705377,2.7092699254383112,0.5378947702165172,471318.8186468548
2010-06-30,Health Insurance,2010,6,6157.343657751557,398520.656348409,352,0.6718728378438031,8.507301373006083,0.6654337466766952,0.41811610135415445,152644.86484589076
2010-06-30,Life Insurance,2010,6,1480.989220455214,818433.4450768613,358,0.5925592679879998,7.664285187581672,3.0676256576847165,0.6647584994424189,388875.1218759047
2010-06-30,Motor Vehicle Insurance,2010,6,2992.23202049866,444743.5594845162,517,0.5546238881717329,2.285652585707547,0.6742991378331438,0.5789579864948746,199595.29011250418
2010-06-30,Home Insurance,2010,6,3726.9822486075477,383174.9851306585,495,0.77675583561749,7.7808513003127215,1.7523122202721853,0.8382101860107173,73930.76503842846
2010-07-31,Health Insurance,2010,7,4615.0928437486555,468052.98781291035,86,0.8485852012870045,7.920305038968769,0.7999256275902262,0.644889398126666,10304.07235920268
2010-07-31,Life Insurance,2010,7,7873.242017790834,308364.0954225007,175,0.7897569140935088,6.926864641030494,3.491160870419408,0.5238576314666538,274407.38182254916
2010-07-31,Motor Vehicle Insurance,2010,7,2076.7704433677613,750133.2863744886,802,0.7386359599621213,7.895043395160275,1.110635357797148,0.7192474890852887,488010.51518172165
2010-07-31,Home Insurance,2010,7,5190.9209402947545,507693.18619155436,193,0.5188780505442363,8.613292957099588,2.0201109286213277,0.5221714011442201,187722.41593555623
2010-08-31,Health Insurance,2010,8,5964.90423173422,239890.56819534913,311,0.9358199499174726,6.522437028137126,4.488806410332016,0.8069094811334043,181810.2053265572
2010-08-31,Life Insurance,2010,8,559.8590859279775,900578.8275418228,119,0.8594213862445585,1.7974424257271115,1.1011502786549545,0.5686248867283195,175325.35083547383
2010-08-31,Motor Vehicle Insurance,2010,8,6114.69403382424,390052.3091594793,218,0.6317699165154341,5.388650287004898,2.588244813398018,0.6474408532492923,262669.1994659049
2010-08-31,Home Insurance,2010,8,1788.1888245041862,548117.3325028487,427,0.9409866482114828,1.6988440120444457,2.154431139713508,0.422757896720903,223129.1172950253
2010-09-30,Health Insurance,2010,9,744.0107705542672,907407.3898549015,970,0.770846715336345,4.667887279291877,0.1888078011240757,0.5917545570785039,440557.7402298722
2010-09-30,Life Insurance,2010,9,9493.966818808,627995.6159548522,414,0.7620901961932609,4.663958402130649,3.984514756506783,0.7745635928474477,255232.79190312768
2010-09-30,Motor Vehicle Insurance,2010,9,9659.757127438137,125729.06030128043,114,0.8366329307432894,1.5940885972621741,0.43832494094153873,0.7625419624135039,256340.12990334156
2010-09-30,Home Insurance,2010,9,8103.133746352965,940433.8023773404,978,0.8652964046405618,4.139384805725314,2.423849602787073,0.5009433514840869,73493.93938667551
2010-10-31,Health Insurance,2010,10,3115.67631481637,631430.9725407037,145,0.7954153732991762,1.9989828891218335,2.847323645200855,0.5017355819547532,491456.07275064103
2010-10-31,Life Insurance,2010,10,1066.9539286632003,341556.55851051526,538,0.5576430858647901,8.274116890083,3.1792896374114767,0.7677873904959565,128736.58098007069
2010-10-31,Motor Vehicle Insurance,2010,10,6873.906962470353,147879.35193675337,648,0.6522203776975243,9.529192233680236,3.4742949836085906,0.8186792890761965,41315.21339250332
2010-10-31,Home Insurance,2010,10,4457.509688022053,796084.937377593,303,0.9176376381467224,1.6508482773214475,1.3410346792613042,0.44291241457285163,333257.3932427284
2010-11-30,Health Insurance,2010,11,1308.1785249633103,623872.0283692284,744,0.6010770253297334,9.596036865625313,0.14889600562640193,0.6025263877418013,299706.35322765197
2010-11-30,Life Insurance,2010,11,5002.251410101575,538126.4810565583,881,0.667475160726881,5.703189394030707,3.644873945539069,0.5518544255339031,210497.09872640914
2010-11-30,Motor Vehicle Insurance,2010,11,440.4463590406621,894953.657220448,588,0.6944345973248882,3.696091101584865,2.724717336803135,0.7918098049558477,213985.15577093564
2010-11-30,Home Insurance,2010,11,9102.271980579942,790711.2391122854,987,0.6977322453625034,1.6917586774854716,4.196976745715519,0.43758621160600847,393606.64091798343
2010-12-31,Health Insurance,2010,12,2661.9218178401675,160158.13093542366,840,0.7758228121225365,5.50561841263376,4.124802978213402,0.4950066741511169,101877.75684932628
2010-12-31,Life Insurance,2010,12,6658.970615104421,318604.84711759276,345,0.9243841269851184,8.150639900416738,4.232298222160628,0.7386107519139224,411025.3928777204
2010-12-31,Motor Vehicle Insurance,2010,12,3185.9396532851683,256004.2484163211,814,0.6083117203246272,7.363778295400284,2.476963833899747,0.42308223204154705,326129.821378034
2010-12-31,Home Insurance,2010,12,5248.673409660327,746506.8296469502,964,0.5546756193354131,1.4520341031757638,1.734779139600642,0.6216409213214302,212390.03802086457
2011-01-31,Health Insurance,2011,1,5512.431765498469,43197.110388421585,801,0.5888617204369718,1.6561165183111317,3.9786351926977135,0.5989481656058739,231724.16520901496
2011-01-31,Life Insurance,2011,1,1930.0591097027177,574190.7880226034,1,0.8991162050941712,4.625859543693734,2.3113411538433493,0.550480530544937,132040.36755711742
2011-01-31,Motor Vehicle Insurance,2011,1,9698.88781486913,764834.0988832837,147,0.7906148656948426,3.6576144464314897,0.9988667623768291,0.5775575418935157,377296.5946850025
2011-01-31,Home Insurance,2011,1,7773.814951275034,877997.980394132,287,0.6286580551576221,3.0914589075044305,4.289372695851224,0.6384732641186048,258872.99744110752
2011-02-28,Health Insurance,2011,2,9401.039521485473,348660.9312287484,976,0.8671761225358777,3.5290404901784225,4.424543396184502,0.4726153112747724,163822.99866117258
2011-02-28,Life Insurance,2011,2,8958.790769233723,823044.7316252927,654,0.8876164983635462,8.23134468967196,2.384917805086834,0.6573981452276167,300044.8073016704
2011-02-28,Motor Vehicle Insurance,2011,2,6019.209790229743,119525.41958565515,53,0.8809314524106251,9.363052482686685,0.4709286638179586,0.7624445481849939,497888.5537654049
2011-02-28,Home Insurance,2011,2,9226.554926728857,847987.768817173,304,0.9135169401377994,4.645924250748098,2.0003478405929633,0.7420724184055716,220454.82842999414
2011-03-31,Health Insurance,2011,3,976.075770314003,136213.77570866258,69,0.6135084590780127,9.154999019192473,4.037334531366756,0.46925495711219817,460742.2433854167
2011-03-31,Life Insurance,2011,3,2040.2303379495374,403314.4176547636,361,0.8397688679358252,3.8934613112309377,4.518692739876521,0.4671622613836633,175783.33576266022
2011-03-31,Motor Vehicle Insurance,2011,3,547.7501602143268,799322.4121217581,602,0.707242773773363,5.287932877094125,1.0970164382382197,0.520678465485211,32092.689927868014
2011-03-31,Home Insurance,2011,3,3320.770274556317,158418.25307528605,958,0.8788993488005277,3.0342609803439977,0.42817069892383053,0.5624836268534668,106099.84265237229
2011-04-30,Health Insurance,2011,4,3947.905167925872,236958.88128031508,220,0.8278208047227259,6.7642843795825955,4.39901722035091,0.5838050116338172,212254.0959472037
2011-04-30,Life Insurance,2011,4,2786.3554145615694,725030.0427091356,962,0.8494013509248761,9.81083003657328,2.008084200996489,0.7058637475750054,113719.28965431167
2011-04-30,Motor Vehicle Insurance,2011,4,8304.5013406041,722836.1711806136,704,0.7952728269564822,6.431437864390408,2.7546287249110604,0.42550619447462595,5112.383918036491
2011-04-30,Home Insurance,2011,4,3631.857934266534,644736.1565564444,966,0.5798429462613681,4.22032675702194,4.843522479048719,0.4156027169017299,457925.761185026
